brand,brand_display,executive_theme,month,positive_comments,negative_comments,mixed_neutral_comments,unique_comments,positive_share,negative_share,mixed_neutral_share,theme_comment_balance,monthly_sample_band,evidence_display,primary_theme,theme_order,brand_order,month_order
AMEX,Amex,General Lounge Experience,2026-01,20,20,0,40,0.5,0.5,0.0,0.0,HIGH,NORMAL,True,1,1,1
AMEX,Amex,General Lounge Experience,2026-02,11,26,10,47,0.23404255319148937,0.5531914893617021,0.2127659574468085,-0.3191489361702128,HIGH,NORMAL,True,1,1,2
AMEX,Amex,General Lounge Experience,2026-03,7,7,1,15,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.0,MEDIUM,NORMAL,True,1,1,3
AMEX,Amex,General Lounge Experience,2026-04,9,24,3,36,0.25,0.6666666666666666,0.08333333333333333,-0.4166666666666667,HIGH,NORMAL,True,1,1,4
AMEX,Amex,General Lounge Experience,2026-05,8,9,2,19,0.42105263157894735,0.47368421052631576,0.10526315789473684,-0.05263157894736842,MEDIUM,NORMAL,True,1,1,5
AMEX,Amex,General Lounge Experience,2026-06,24,23,5,52,0.46153846153846156,0.4423076923076923,0.09615384615384616,0.019230769230769232,HIGH,NORMAL,True,1,1,6
AMEX,Amex,General Lounge Experience,2026-07,16,20,3,39,0.41025641025641024,0.5128205128205128,0.07692307692307693,-0.10256410256410256,HIGH,NORMAL,True,1,1,7
AMEX,Amex,General Lounge Experience,2026-08,4,25,6,35,0.11428571428571428,0.7142857142857143,0.17142857142857143,-0.6,HIGH,NORMAL,True,1,1,8
CHASE,Chase,General Lounge Experience,2026-01,21,4,2,27,0.7777777777777778,0.14814814814814814,0.07407407407407407,0.6296296296296297,MEDIUM,NORMAL,True,1,2,1
CHASE,Chase,General Lounge Experience,2026-02,7,7,1,15,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.0,MEDIUM,NORMAL,True,1,2,2
CHASE,Chase,General Lounge Experience,2026-03,10,2,2,14,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.5714285714285714,LOW,REDUCED,True,1,2,3
CHASE,Chase,General Lounge Experience,2026-04,24,2,1,27,0.8888888888888888,0.07407407407407407,0.037037037037037035,0.8148148148148148,MEDIUM,NORMAL,True,1,2,4
CHASE,Chase,General Lounge Experience,2026-05,7,3,1,11,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.36363636363636365,LOW,REDUCED,True,1,2,5
CHASE,Chase,General Lounge Experience,2026-06,14,3,2,19,0.7368421052631579,0.15789473684210525,0.10526315789473684,0.5789473684210527,MEDIUM,NORMAL,True,1,2,6
CHASE,Chase,General Lounge Experience,2026-07,30,8,5,43,0.6976744186046512,0.18604651162790697,0.11627906976744186,0.5116279069767442,HIGH,NORMAL,True,1,2,7
CHASE,Chase,General Lounge Experience,2026-08,14,5,1,20,0.7,0.25,0.05,0.45,MEDIUM,NORMAL,True,1,2,8
CAPITAL_ONE,Capital One,General Lounge Experience,2026-01,10,7,0,17,0.5882352941176471,0.4117647058823529,0.0,0.17647058823529413,MEDIUM,NORMAL,True,1,3,1
