brand,brand_display,airport_code,positive_comments,negative_comments,mixed_neutral_comments,unique_comments,frozen_overall_score_100,frozen_overall_comments,frozen_attribute_score_100,frozen_attribute_comments,eligible_metrics,airport_name,city,state,latitude,longitude,source,source_positive_comments,source_negative_comments,source_mixed_neutral_comments,source_unique_comments,airport_unique_comments,driver_aspect,driver_label,driver_theme,driver_score_100,driver_comments,driver_type,watchlist_section,watchlist_order,presentation_direction,brand_order
AMEX,Amex,ATL,9,6,8,23,25.0,16.0,-3.333333333333333,15.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.63669961,-84.427864,FAA NASR APT_BASE 2026-03-19,9,6,8,23,23,,,,,,,,,POSITIVE,1
CHASE,Chase,BOS,5,9,5,19,30.0,10.0,-37.523809523809526,15.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Boston Logan International Airport,Boston,MA,42.36294444,-71.00638888,FAA NASR APT_BASE 2026-03-19,5,9,5,19,19,,,,,,,,,NEGATIVE,2
AMEX,Amex,CLT,3,3,3,9,,,-11.11111111111111,9.0,ATTRIBUTE_INDEX,Charlotte Douglas International Airport,Charlotte,NC,35.21318694,-80.95137916,FAA NASR APT_BASE 2026-03-19,3,3,3,9,9,,,,,,,,,BALANCED,1
CAPITAL_ONE,Capital One,DCA,10,1,5,16,87.5,8.0,65.47619047619048,14.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Ronald Reagan Washington National Airport,Washington,DC,38.85144027,-77.03772138,FAA NASR APT_BASE 2026-03-19,10,1,5,16,16,FOOD_QUALITY,Food quality,Food & Beverage,88.88888888888889,9.0,ABSOLUTE_STRENGTH,POSITIVE,4.0,POSITIVE,3
CAPITAL_ONE,Capital One,DEN,2,5,2,9,,,-45.833333333333336,8.0,ATTRIBUTE_INDEX,Denver International Airport,Denver,CO,39.86166666,-104.67316666,FAA NASR APT_BASE 2026-03-19,2,5,2,9,9,,,,,,,,,NEGATIVE,3
AMEX,Amex,DFW,2,13,8,23,,,-48.49896480331263,23.0,ATTRIBUTE_INDEX,Dallas Fort Worth International Airport,Dallas-Fort Worth,TX,32.89723305,-97.03769472,FAA NASR APT_BASE 2026-03-19,2,13,8,23,33,CROWDING,Crowding,Access & Capacity,-87.5,8.0,ABSOLUTE_PAIN_POINT,,,NEGATIVE,1
CAPITAL_ONE,Capital One,DFW,6,2,3,11,50.0,8.0,,,OVERALL_EXPERIENCE,Dallas Fort Worth International Airport,Dallas-Fort Worth,TX,32.89723305,-97.03769472,FAA NASR APT_BASE 2026-03-19,6,2,3,11,33,,,,,,,,,POSITIVE,3
AMEX,Amex,JFK,7,19,5,31,-47.61904761904761,21.0,-49.01960784313726,17.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,John F. Kennedy International Airport,New York,NY,40.63992805,-73.77869222,FAA NASR APT_BASE 2026-03-19,7,19,5,31,75,,,,,,,ATTENTION,2.0,NEGATIVE,1
CHASE,Chase,JFK,7,16,5,28,25.0,12.0,-53.94736842105263,19.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,John F. Kennedy International Airport,New York,NY,40.63992805,-73.77869222,FAA NASR APT_BASE 2026-03-19,7,16,5,28,75,WAIT_TIME_QUEUE,Wait time & queues,Access & Capacity,-100.0,11.0,ABSOLUTE_STRENGTH,,,NEGATIVE,2
CAPITAL_ONE,Capital One,JFK,20,1,3,24,100.0,17.0,66.66666666666667,14.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,John F. Kennedy International Airport,New York,NY,40.63992805,-73.77869222,FAA NASR APT_BASE 2026-03-19,20,1,3,24,75,,,,,,,POSITIVE,1.0,POSITIVE,3
AMEX,Amex,LAS,8,7,3,18,30.0,10.0,-1.7857142857142856,14.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Harry Reid International Airport,Las Vegas,NV,36.08034277,-115.15244861,FAA NASR APT_BASE 2026-03-19,8,7,3,18,50,,,,,,,,,POSITIVE,1
CHASE,Chase,LAS,5,17,8,30,10.0,10.0,-49.29012345679013,27.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Harry Reid International Airport,Las Vegas,NV,36.08034277,-115.15244861,FAA NASR APT_BASE 2026-03-19,5,17,8,30,50,CROWDING,Crowding,Access & Capacity,-75.0,8.0,ABSOLUTE_PAIN_POINT,,,NEGATIVE,2
CAPITAL_ONE,Capital One,LAS,11,0,1,12,,,93.75,8.0,ATTRIBUTE_INDEX,Harry Reid International Airport,Las Vegas,NV,36.08034277,-115.15244861,FAA NASR APT_BASE 2026-03-19,11,0,1,12,50,,,,,,,,,POSITIVE,3
AMEX,Amex,LAX,2,25,2,29,-88.88888888888889,18.0,-63.8655462184874,17.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Los Angeles International Airport,Los Angeles,CA,33.94249638,-118.40804861,FAA NASR APT_BASE 2026-03-19,2,25,2,29,41,AMBIENCE_DESIGN,Ambience,"Space, Amenities & Convenience",-100.0,8.0,ABSOLUTE_STRENGTH,ATTENTION,1.0,NEGATIVE,1
DELTA,Delta,LAX,16,1,2,19,100.0,16.0,44.44444444444444,9.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Los Angeles International Airport,Los Angeles,CA,33.94249638,-118.40804861,FAA NASR APT_BASE 2026-03-19,16,1,2,19,41,,,,,,,POSITIVE,3.0,POSITIVE,4
AMEX,Amex,LGA,3,6,5,14,-12.5,8.0,-15.0,10.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,LaGuardia Airport,New York,NY,40.77724222,-73.87260555,FAA NASR APT_BASE 2026-03-19,3,6,5,14,56,,,,,,,ATTENTION,4.0,NEGATIVE,1
CHASE,Chase,LGA,17,8,3,28,100.0,16.0,-2.380952380952381,21.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,LaGuardia Airport,New York,NY,40.77724222,-73.87260555,FAA NASR APT_BASE 2026-03-19,17,8,3,28,56,,,,,,,POSITIVE,2.0,POSITIVE,2
CAPITAL_ONE,Capital One,LGA,11,4,4,19,61.53846153846154,13.0,35.27777777777777,18.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,LaGuardia Airport,New York,NY,40.77724222,-73.87260555,FAA NASR APT_BASE 2026-03-19,11,4,4,19,56,,,,,,,,,POSITIVE,3
AMEX,Amex,MIA,3,5,1,9,,,-37.5,8.0,ATTRIBUTE_INDEX,Miami International Airport,Miami,FL,25.79536111,-80.29011583,FAA NASR APT_BASE 2026-03-19,3,5,1,9,9,,,,,,,,,NEGATIVE,1
CHASE,Chase,PHL,11,3,2,16,72.72727272727273,11.0,35.833333333333336,12.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Philadelphia International Airport,Philadelphia,PA,39.87208388,-75.24066305,FAA NASR APT_BASE 2026-03-19,11,3,2,16,16,,,,,,,POSITIVE,5.0,POSITIVE,2
AMEX,Amex,PHX,4,5,3,12,-9.090909090909092,11.0,-18.75,8.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43427777,-112.01158333,FAA NASR APT_BASE 2026-03-19,4,5,3,12,28,,,,,,,,,NEGATIVE,1
CHASE,Chase,PHX,5,9,4,18,-30.0,10.0,-27.02380952380952,14.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43427777,-112.01158333,FAA NASR APT_BASE 2026-03-19,5,9,4,18,28,AMBIENCE_DESIGN,Ambience,"Space, Amenities & Convenience",-62.5,8.0,ABSOLUTE_STRENGTH,ATTENTION,3.0,NEGATIVE,2
CHASE,Chase,SAN,9,2,2,13,,,30.55555555555556,9.0,ATTRIBUTE_INDEX,San Diego International Airport,San Diego,CA,32.73356277,-117.18966333,FAA NASR APT_BASE 2026-03-19,9,2,2,13,13,,,,,,,,,POSITIVE,2
AMEX,Amex,SEA,8,3,4,15,,,24.615384615384617,13.0,ATTRIBUTE_INDEX,Seattle-Tacoma International Airport,Seattle,WA,47.44988888,-122.31177777,FAA NASR APT_BASE 2026-03-19,8,3,4,15,15,,,,,,,,,POSITIVE,1
AMEX,Amex,SLC,10,1,3,14,,,36.66666666666667,10.0,ATTRIBUTE_INDEX,Salt Lake City International Airport,Salt Lake City,UT,40.78839333,-111.97777333,FAA NASR APT_BASE 2026-03-19,10,1,3,14,14,,,,,,,,,POSITIVE,1
